R-PEAK INDEX, TIME, AMPLITUDE
39,0.39,294
127,1.27,237
212,2.12,244
294,2.94,299
377,3.77,340
465,4.65,344
559,5.59,319
656,6.56,299
750,7.5,294
843,8.43,310
937,9.37,309
1037,10.37,321
1139,11.39,288
1240,12.4,270
1339,13.39,290
1436,14.36,318
1531,15.31,278
1629,16.29,328
1730,17.3,237
1824,18.24,270
1914,19.14,295
2000,20.0,283
2085,20.85,315
2182,21.82,343
2275,22.75,253
2368,23.68,314
2452,24.52,329
2529,25.29,296
2607,26.07,295
2687,26.87,350
2768,27.68,316
2852,28.52,290
2936,29.36,309
3017,30.17,266
3100,31.0,321
3189,31.89,315
3289,32.89,337
3382,33.82,311
3470,34.7,261
3556,35.56,288
3641,36.41,288
3728,37.28,342
3817,38.17,312
3908,39.08,296
4000,40.0,291
4088,40.88,260
4185,41.85,328
4285,42.85,288
4379,43.79,279
4465,44.65,257
4547,45.47,273
4631,46.31,303
4718,47.18,305
4806,48.06,275
4894,48.94,333
4986,49.86,320
5076,50.76,265
5166,51.66,287
5258,52.58,300
5348,53.48,329
5438,54.38,349
5529,55.29,346
5620,56.2,322
5708,57.08,292
5796,57.96,295
5889,58.89,324
5979,59.79,319
6066,60.66,340
6157,61.57,309
6246,62.46,335
6334,63.34,321
6423,64.23,344
6507,65.07,323
6590,65.9,306
6673,66.73,306
6765,67.65,336
6853,68.53,289
6938,69.38,331
7022,70.22,319
7109,71.09,309
7193,71.93,321
7277,72.77,275
7363,73.63,339
7445,74.45,256
7525,75.25,305
7605,76.05,334
7689,76.89,334
7773,77.73,288
7855,78.55,307
7933,79.33,323
8012,80.12,338
8096,80.96,311
8182,81.82,348
8274,82.74,267
8360,83.6,262
8441,84.41,335
8521,85.21,288
8602,86.02,321
8687,86.87,345
8775,87.75,298
8860,88.6,289
8942,89.42,300
9019,90.19,269
9093,90.93,338
9164,91.64,313
9234,92.34,242
9312,93.12,306
9395,93.95,329
9484,94.84,316
9571,95.71,295
9655,96.55,313
9738,97.38,304
9821,98.21,285
