R-R INTERVAL TROUGHS INDEX, TIME, AMPLITUDE, COMPUTED RESPIRATORY RATE (BREATHS PER MINUTE), BENCHMARK RESPIRATORY RATE (BREATHS PER MINUTE)
100332,1003.32,146, , 
100793,1007.93,142, , 
101577,1015.77,137, , 
101892,1018.92,130, , 
102288,1022.88,116, , 
102444,1024.44,136, , 
103154,1031.54,128, , 
103392,1033.92,121, , 
103553,1035.53,144, , 
104483,1044.83,125, , 
104874,1048.74,86, , 
105107,1051.07,133, , 
105338,1053.38,144, , 
107319,1073.19,85, , 
107622,1076.22,120, , 
107924,1079.24,132, , 
108076,1080.76,103, , 
108233,1082.33,135, , 
108779,1087.79,116, , 
108933,1089.33,126, , 
109320,1093.2,79, , 
109551,1095.51,73, , 
 , , , 13.75, 14.375
110323,1103.23,111, , 
110705,1107.05,70, , 
111091,1110.91,90, , 
111326,1113.26,82, , 
111563,1115.63,158, , 
111722,1117.22,128, , 
111881,1118.81,130, , 
112354,1123.54,104, , 
112511,1125.11,118, , 
112988,1129.88,134, , 
113314,1133.14,74, , 
113478,1134.78,115, , 
113794,1137.94,137, , 
114031,1140.31,135, , 
114352,1143.52,80, , 
114591,1145.91,103, , 
114828,1148.28,135, , 
115304,1153.04,118, , 
115461,1154.61,136, , 
116325,1163.25,79, , 
116633,1166.33,124, , 
116863,1168.63,132, , 
117252,1172.52,140, , 
117490,1174.9,127, , 
 , , , 15.0, 10.0
119655,1196.55,119, , 
119970,1199.7,83, , 
120289,1202.89,138, , 
120597,1205.97,139, , 
120750,1207.5,121, , 
120905,1209.05,162, , 
121223,1212.23,138, , 
124242,1242.42,115, , 
124518,1245.18,140, , 
124690,1246.9,131, , 
125333,1253.33,120, , 
126034,1260.34,122, , 
128032,1280.32,84, , 
128350,1283.5,155, , 
128682,1286.82,142, , 
128848,1288.48,112, , 
 , , , 10.0, 6.25
128931,1289.31,142, , 
129175,1291.75,93, , 
129499,1294.99,115, , 
130091,1300.91,130, , 
131043,1310.43,153, , 
131362,1313.62,124, , 
131603,1316.03,178, , 
131847,1318.47,137, , 
135180,1351.8,83, , 
135458,1354.58,129, , 
135733,1357.33,101, , 
135912,1359.12,114, , 
136175,1361.75,85, , 
136440,1364.4,140, , 
136794,1367.94,151, , 
136966,1369.66,86, , 
137624,1376.24,120, , 
137855,1378.55,151, , 
138084,1380.84,106, , 
138394,1383.94,107, , 
 , , , 12.5, 4.375
140718,1407.18,135, , 
141319,1413.19,101, , 
141572,1415.72,100, , 
141822,1418.22,132, , 
142150,1421.5,110, , 
142388,1423.88,123, , 
142620,1426.2,95, , 
145477,1454.77,105, , 
145734,1457.34,73, , 
146071,1460.71,123, , 
146322,1463.22,150, , 
146648,1466.48,134, , 
146966,1469.66,130, , 
147209,1472.09,139, , 
147455,1474.55,149, , 
147700,1477.0,119, , 
148841,1488.41,110, , 
 , , , 10.625, 5.0
149164,1491.64,131, , 
149409,1494.09,147, , 
149654,1496.54,90, , 
149976,1499.76,72, , 
150318,1503.18,131, , 
150494,1504.94,137, , 
150918,1509.18,120, , 
151168,1511.68,132, , 
151492,1514.92,60, , 
152026,1520.26,134, , 
154535,1545.35,81, , 
154959,1549.59,124, , 
155317,1553.17,91, , 
155496,1554.96,119, , 
155768,1557.68,140, , 
155946,1559.46,81, , 
156365,1563.65,118, , 
156524,1565.24,105, , 
156837,1568.37,93, , 
157074,1570.74,119, , 
157393,1573.93,124, , 
 , , , 13.125, 2.5
159118,1591.18,139, , 
159540,1595.4,129, , 
159710,1597.1,126, , 
160047,1600.47,109, , 
160293,1602.93,150, , 
160530,1605.3,128, , 
160915,1609.15,117, , 
161144,1611.44,117, , 
161461,1614.61,97, , 
163072,1630.72,122, , 
163236,1632.36,145, , 
163483,1634.83,115, , 
163743,1637.43,104, , 
164080,1640.8,147, , 
164417,1644.17,140, , 
164674,1646.74,128, , 
164930,1649.3,116, , 
165178,1651.78,85, , 
165498,1654.98,100, , 
165813,1658.13,115, , 
166127,1661.27,149, , 
 , , , 13.125, 5.0
167388,1673.88,143, , 
167556,1675.56,71, , 
167896,1678.96,96, , 
168066,1680.66,106, , 
168401,1684.01,74, , 
168560,1685.6,132, , 
168881,1688.81,101, , 
169035,1690.35,115, , 
169483,1694.83,78, , 
169860,1698.6,132, , 
170093,1700.93,135, , 
172947,1729.47,135, , 
173195,1731.95,118, , 
173513,1735.13,105, , 
173746,1737.46,148, , 
174070,1740.7,121, , 
177050,1770.5,97, , 
