R-PEAK AMPLITUDE PEAK INDEX, TIME, AMPLITUDE, COMPUTED RESPIRATORY RATE (BREATHS PER MINUTE), BENCHMARK RESPIRATORY RATE (BREATHS PER MINUTE)
101186,1011.86,152, , 
101813,1018.13,144, , 
102050,1020.5,151, , 
102758,1027.58,148, , 
103312,1033.12,150, , 
103553,1035.53,144, , 
104641,1046.41,151, , 
105029,1050.29,135, , 
105338,1053.38,144, , 
105493,1054.93,132, , 
108311,1083.11,144, , 
109165,1091.65,138, , 
 , , , 7.5, 14.375
110627,1106.27,132, , 
110934,1109.34,128, , 
111247,1112.47,127, , 
111563,1115.63,158, , 
111801,1118.01,147, , 
112119,1121.19,141, , 
112588,1125.88,129, , 
113794,1137.94,137, , 
114031,1140.31,135, , 
114191,1141.91,148, , 
114828,1148.28,135, , 
115065,1150.65,127, , 
115699,1156.99,135, , 
116785,1167.85,150, , 
117094,1170.94,133, , 
117490,1174.9,127, , 
117650,1176.5,141, , 
 , , , 10.625, 10.0
119811,1198.11,124, , 
120209,1202.09,141, , 
120597,1205.97,139, , 
120826,1208.26,180, , 
121143,1211.43,169, , 
121462,1214.62,177, , 
121708,1217.08,163, , 
124772,1247.72,139, , 
125249,1252.49,168, , 
128112,1281.12,140, , 
128350,1283.5,155, , 
128598,1285.98,156, , 
 , , , 7.5, 6.25
129093,1290.93,162, , 
129337,1293.37,138, , 
131282,1312.82,165, , 
131441,1314.41,131, , 
131603,1316.03,178, , 
131847,1318.47,137, , 
132094,1320.94,157, , 
136529,1365.29,150, , 
136705,1367.05,153, , 
137136,1371.36,123, , 
137778,1377.78,177, , 
138007,1380.07,166, , 
138316,1383.16,155, , 
 , , , 8.125, 4.375
138549,1385.49,138, , 
140803,1408.03,140, , 
141822,1418.22,132, , 
142069,1420.69,149, , 
142309,1423.09,155, , 
142542,1425.42,154, , 
142851,1428.51,169, , 
145902,1459.02,147, , 
146322,1463.22,150, , 
146567,1465.67,146, , 
147046,1470.46,131, , 
147209,1472.09,139, , 
147455,1474.55,149, , 
147619,1476.19,127, , 
147781,1477.81,150, , 
 , , , 9.375, 5.0
149571,1495.71,138, , 
149894,1498.94,141, , 
150059,1500.59,133, , 
150494,1504.94,137, , 
150749,1507.49,153, , 
151250,1512.5,139, , 
151725,1517.25,187, , 
152801,1528.01,152, , 
154698,1546.98,141, , 
155227,1552.27,127, , 
155587,1555.87,144, , 
155768,1557.68,140, , 
156203,1562.03,178, , 
156994,1569.94,151, , 
157312,1573.12,161, , 
157716,1577.16,137, , 
 , , , 10.0, 2.5
159624,1596.24,130, , 
159879,1598.79,128, , 
160293,1602.93,150, , 
160450,1604.5,141, , 
160685,1606.85,139, , 
160838,1608.38,142, , 
160990,1609.9,134, , 
163236,1632.36,145, , 
163397,1633.97,153, , 
164080,1640.8,147, , 
164333,1643.33,147, , 
164588,1645.88,142, , 
164844,1648.44,150, , 
165338,1653.38,142, , 
165656,1656.56,166, , 
166127,1661.27,149, , 
166367,1663.67,156, , 
167473,1674.73,156, , 
 , , , 11.25, 5.0
167640,1676.4,138, , 
168560,1685.6,132, , 
168801,1688.01,125, , 
169112,1691.12,162, , 
169336,1693.36,148, , 
169558,1695.58,125, , 
169708,1697.08,138, , 
170333,1703.33,137, , 
170888,1708.88,147, , 
173434,1734.34,169, , 
173746,1737.46,148, , 
173988,1739.88,158, , 
178134,1781.34,152, , 
178544,1785.44,146, , 
 , , , 8.75, 4.375
179494,1794.94,179, , 
180170,1801.7,154, , 
180420,1804.2,257, , 
180472,1804.72,175, , 
180540,1805.4,232, , 
181038,1810.38,203, , 
181823,1818.23,167, , 
183185,1831.85,159, , 
183649,1836.49,179, , 
183950,1839.5,175, , 
184495,1844.95,166, , 
186509,1865.09,136, , 
 , , , 7.5, 7.5
186739,1867.39,176, , 
186967,1869.67,145, , 
187118,1871.18,149, , 
187567,1875.67,150, , 
190663,1906.63,132, , 
191113,1911.13,138, , 
191766,1917.66,128, , 
192031,1920.31,159, , 
192427,1924.27,177, , 
192579,1925.79,179, , 
193050,1930.5,150, , 
195869,1958.69,140, , 
196111,1961.11,154, , 
196433,1964.33,146, , 
197021,1970.21,137, , 
197343,1973.43,156, , 
197645,1976.45,168, , 
197865,1978.65,153, , 
 , , , 11.25, 8.125
198156,1981.56,185, , 
198843,1988.43,213, , 
198916,1989.16,171, , 
199210,1992.1,254, , 
199972,1999.72,151, , 
 , , , 3.125, 10.625
205796,2057.96,106, , 
206036,2060.36,109, , 
208778,2087.78,119, , 
209139,2091.39,127, , 
209572,2095.72,117, , 
210210,2102.1,122, , 
213604,2136.04,126, , 
213819,2138.19,117, , 
214332,2143.32,124, , 
 , , , 5.625, 8.75
217420,2174.2,102, , 
217790,2177.9,131, , 
219122,2191.22,97, , 
220440,2204.4,93, , 
221276,2212.76,99, , 
221644,2216.44,117, , 
222079,2220.79,97, , 
223203,2232.03,104, , 
224524,2245.24,95, , 
224754,2247.54,92, , 
 , , , 6.25, 8.125
225371,2253.71,141, , 
225521,2255.21,116, , 
226557,2265.57,99, , 
229295,2292.95,157, , 
229521,2295.21,118, , 
229972,2299.72,114, , 
230282,2302.82,100, , 
232725,2327.25,106, , 
233374,2333.74,128, , 
235034,2350.34,114, , 
236498,2364.98,103, , 
 , , , 6.875, 8.125
237440,2374.4,126, , 
237803,2378.03,158, , 
238094,2380.94,140, , 
238318,2383.18,128, , 
241702,2417.02,135, , 
242008,2420.08,124, , 
242298,2422.98,140, , 
242516,2425.16,159, , 
242744,2427.44,139, , 
243162,2431.62,138, , 
243876,2438.76,116, , 
 , , , 6.875, 10.625
244833,2448.33,113, , 
245246,2452.46,131, , 
245559,2455.59,110, , 
245788,2457.88,133, , 
246775,2467.75,121, , 
248013,2480.13,116, , 
248649,2486.49,119, , 
249549,2495.49,134, , 
249849,2498.49,124, , 
250145,2501.45,142, , 
250532,2505.32,124, , 
251046,2510.46,127, , 
252621,2526.21,119, , 
253699,2536.99,121, , 
 , , , 8.75, 9.375
254178,2541.78,144, , 
254405,2544.05,125, , 
257897,2578.97,115, , 
258389,2583.89,115, , 
258797,2587.97,143, , 
258950,2589.5,132, , 
259315,2593.15,144, , 
259767,2597.67,123, , 
262825,2628.25,124, , 
263074,2630.74,113, , 
 , , , 6.25, 9.375
263410,2634.1,139, , 
263726,2637.26,117, , 
264164,2641.64,123, , 
265338,2653.38,126, , 
266858,2668.58,122, , 
268179,2681.79,147, , 
268330,2683.3,131, , 
268838,2688.38,120, , 
270021,2700.21,114, , 
271810,2718.1,120, , 
272331,2723.31,123, , 
272742,2727.42,150, , 
 , , , 7.5, 10.625
273116,2731.16,131, , 
273338,2733.38,131, , 
274355,2743.55,103, , 
275503,2755.03,107, , 
276238,2762.38,113, , 
276661,2766.61,118, , 
277006,2770.06,144, , 
277168,2771.68,141, , 
277470,2774.7,118, , 
278075,2780.75,108, , 
280859,2808.59,131, , 
281363,2813.63,169, , 
281519,2815.19,150, , 
281884,2818.84,137, , 
282329,2823.29,123, , 
283280,2832.8,117, , 
283985,2839.85,114, , 
 , , , 10.625, 10.0
285687,2856.87,132, , 
287095,2870.95,221, , 
287242,2872.42,118, , 
287361,2873.61,157, , 
290287,2902.87,161, , 
290961,2909.61,122, , 
 , , , 3.75, 8.125
293605,2936.05,150, , 
294048,2940.48,133, , 
295527,2955.27,112, , 
296573,2965.73,115, , 
297877,2978.77,156, , 
298184,2981.84,144, , 
298479,2984.79,144, , 
298994,2989.94,124, , 
 , , , 5.0, 8.75
301993,3019.93,124, , 
302449,3024.49,126, , 
302594,3025.94,116, , 
302883,3028.83,111, , 
305780,3057.8,110, , 
306507,3065.07,104, , 
306751,3067.51,113, , 
307208,3072.08,118, , 
307425,3074.25,106, , 
308655,3086.55,103, , 
309425,3094.25,107, , 
311255,3112.55,111, , 
 , , , 7.5, 9.375
311490,3114.9,139, , 
311642,3116.42,150, , 
312230,3122.3,121, , 
313170,3131.7,108, , 
315209,3152.09,114, , 
315874,3158.74,140, , 
316412,3164.12,129, , 
316560,3165.6,144, , 
318117,3181.17,106, , 
319183,3191.83,106, , 
320458,3204.58,117, , 
320786,3207.86,125, , 
 , , , 7.5, 9.375
321411,3214.11,129, , 
321891,3218.91,113, , 
324267,3242.67,106, , 
324516,3245.16,115, , 
325023,3250.23,130, , 
325527,3255.27,149, , 
325979,3259.79,139, , 
326257,3262.57,138, , 
326554,3265.54,131, , 
327252,3272.52,124, , 
328203,3282.03,111, , 
328767,3287.67,110, , 
330158,3301.58,150, , 
330620,3306.2,133, , 
332168,3321.68,121, , 
 , , , 9.375, 9.375
334515,3345.15,152, , 
335195,3351.95,129, , 
335424,3354.24,118, , 
338868,3388.68,120, , 
339103,3391.03,155, , 
339250,3392.5,134, , 
339801,3398.01,134, , 
339850,3398.5,198, , 
339895,3398.95,156, , 
 , , , 5.625, 10.0
340207,3402.07,143, , 
340409,3404.09,148, , 
342391,3423.91,129, , 
343424,3434.24,140, , 
347059,3470.59,135, , 
348763,3487.63,112, , 
 , , , 3.75, 9.375
350004,3500.04,102, , 
351058,3510.58,125, , 
351344,3513.44,125, , 
352047,3520.47,117, , 
353832,3538.32,152, , 
354486,3544.86,118, , 
355220,3552.2,106, , 
356440,3564.4,110, , 
357503,3575.03,143, , 
357954,3579.54,126, , 
358180,3581.8,113, , 
 , , , 6.875, 10.0
360644,3606.44,125, , 
361237,3612.37,125, , 
361945,3619.45,105, , 
363954,3639.54,114, , 
364348,3643.48,161, , 
364784,3647.84,132, , 
 , , , 3.75, 8.75
369802,3698.02,112, , 
373282,3732.82,141, , 
373652,3736.52,126, , 
375596,3755.96,161, , 
378233,3782.33,123, , 
378470,3784.7,158, , 
 , , , 3.75, 9.375
380293,3802.93,201, , 
381654,3816.54,103, , 
383136,3831.36,140, , 
383432,3834.32,104, , 
383647,3836.47,120, , 
383935,3839.35,120, , 
387027,3870.27,113, , 
387282,3872.82,119, , 
387919,3879.19,114, , 
 , , , 5.625, 10.0
388427,3884.27,124, , 
389354,3893.54,113, , 
391119,3911.19,101, , 
391754,3917.54,107, , 
392322,3923.22,115, , 
392477,3924.77,117, , 
393135,3931.35,109, , 
394271,3942.71,106, , 
395874,3958.74,107, , 
397055,3970.55,110, , 
397459,3974.59,117, , 
 , , , 6.875, 11.25
397761,3977.61,135, , 
397977,3979.77,109, , 
399200,3992.0,114, , 
399637,3996.37,101, , 
401048,4010.48,109, , 
402156,4021.56,118, , 
405765,4057.65,110, , 
406249,4062.49,112, , 
406569,4065.69,127, , 
407048,4070.48,127, , 
407202,4072.02,135, , 
 , , , 6.875, 10.625
407625,4076.25,134, , 
407763,4077.63,119, , 
408777,4087.77,111, , 
409850,4098.5,111, , 
411584,4115.84,115, , 
411809,4118.09,146, , 
412095,4120.95,110, , 
412445,4124.45,121, , 
415597,4155.97,115, , 
415836,4158.36,123, , 
416071,4160.71,144, , 
416584,4165.84,118, , 
416800,4168.0,112, , 
 , , , 8.125, 10.0
417706,4177.06,101, , 
418444,4184.44,103, , 
420022,4200.22,130, , 
420340,4203.4,135, , 
420493,4204.93,122, , 
420775,4207.75,126, , 
423962,4239.62,113, , 
424293,4242.93,134, , 
424694,4246.94,100, , 
425090,4250.9,134, , 
425240,4252.4,153, , 
425529,4255.29,106, , 
426104,4261.04,100, , 
426553,4265.53,103, , 
426783,4267.83,103, , 
 , , , 9.375, 8.75
427550,4275.5,115, , 
429640,4296.4,205, , 
431394,4313.94,140, , 
433206,4332.06,158, , 
 , , , 2.5, 6.875
437136,4371.36,138, , 
440126,4401.26,111, , 
441697,4416.97,99, , 
441928,4419.28,96, , 
442774,4427.74,110, , 
443734,4437.34,101, , 
445480,4454.8,118, , 
445701,4457.01,108, , 
 , , , 5.0, 11.875
445916,4459.16,124, , 
447799,4477.99,105, , 
448340,4483.4,99, , 
449626,4496.26,108, , 
450598,4505.98,126, , 
450921,4509.21,117, , 
452091,4520.91,111, , 
453567,4535.67,146, , 
453786,4537.86,103, , 
 , , , 5.625, 10.0
455581,4555.81,97, , 
456857,4568.57,99, , 
457463,4574.63,112, , 
457920,4579.2,113, , 
458214,4582.14,139, , 
458424,4584.24,119, , 
458707,4587.07,118, , 
460007,4600.07,102, , 
462170,4621.7,105, , 
462640,4626.4,139, , 
463785,4637.85,102, , 
464411,4644.11,105, , 
 , , , 7.5, 7.5
466587,4665.87,101, , 
466817,4668.17,107, , 
467360,4673.6,124, , 
467860,4678.6,118, , 
471531,4715.31,121, , 
471756,4717.56,127, , 
472044,4720.44,116, , 
472391,4723.91,108, , 
474757,4747.57,101, , 
 , , , 5.625, 9.375
475309,4753.09,107, , 
476163,4761.63,140, , 
476451,4764.51,120, , 
478762,4787.62,105, , 
480138,4801.38,115, , 
480920,4809.2,144, , 
481646,4816.46,112, , 
484013,4840.13,116, , 
 , , , 5.0, 10.0
485436,4854.36,137, , 
485742,4857.42,124, , 
488423,4884.23,98, , 
489257,4892.57,113, , 
489813,4898.13,116, , 
490529,4905.29,115, , 
490881,4908.81,102, , 
493651,4936.51,105, , 
 , , , 5.0, 10.625
494230,4942.3,130, , 
495019,4950.19,119, , 
495229,4952.29,108, , 
497187,4971.87,106, , 
497653,4976.53,109, , 
498120,4981.2,113, , 
498894,4988.94,123, , 
499314,4993.14,119, , 
500296,5002.96,107, , 
501763,5017.63,96, , 
502632,5026.32,120, , 
 , , , 6.875, 9.375
504234,5042.34,101, , 
504536,5045.36,103, , 
505392,5053.92,153, , 
505604,5056.04,105, , 
505949,5059.49,110, , 
506226,5062.26,119, , 
506642,5066.42,96, , 
509347,5093.47,113, , 
 , , , 5.0, 9.375
513014,5130.14,96, , 
513560,5135.6,108, , 
514160,5141.6,98, , 
518348,5183.48,126, , 
518561,5185.61,112, , 
518988,5189.88,93, , 
522702,5227.02,110, , 
 , , , 4.375, 11.25
522929,5229.29,117, , 
523787,5237.87,92, , 
524470,5244.7,86, , 
527220,5272.2,117, , 
528714,5287.14,102, , 
529657,5296.57,92, , 
529907,5299.07,88, , 
531255,5312.55,118, , 
531480,5314.8,117, , 
 , , , 5.625, 9.375
535345,5353.45,124, , 
535789,5357.89,112, , 
536980,5369.8,89, , 
539022,5390.22,100, , 
539981,5399.81,120, , 
540275,5402.75,108, , 
540493,5404.93,99, , 
541478,5414.78,89, , 
541733,5417.33,92, , 
 , , , 5.625, 8.75
544634,5446.34,141, , 
544786,5447.86,146, , 
544935,5449.35,134, , 
545081,5450.81,140, , 
545227,5452.27,106, , 
545660,5456.6,109, , 
548830,5488.3,93, , 
549461,5494.61,123, , 
549684,5496.84,107, , 
549970,5499.7,100, , 
550255,5502.55,102, , 
 , , , 6.875, 9.375
552574,5525.74,94, , 
553514,5535.14,106, , 
554028,5540.28,116, , 
556828,5568.28,86, , 
557563,5575.63,109, , 
557987,5579.87,112, , 
558311,5583.11,143, , 
558611,5586.11,108, , 
 , , , 5.0, 8.75
562985,5629.85,131, , 
563495,5634.95,100, , 
563922,5639.22,102, , 
564446,5644.46,97, , 
568194,5681.94,108, , 
 , , , 3.125, 9.375
572256,5722.56,140, , 
572831,5728.31,100, , 
576276,5762.76,110, , 
576523,5765.23,116, , 
577119,5771.19,109, , 
 , , , 3.125, 10.625
580620,5806.2,143, , 
580922,5809.22,123, , 
581136,5811.36,138, , 
581559,5815.59,109, , 
583433,5834.33,95, , 
585059,5850.59,143, , 
585213,5852.13,110, , 
589584,5895.84,96, , 
 , , , 5.0, 10.625
589896,5898.96,141, , 
594305,5943.05,114, , 
598740,5987.4,229, , 
598998,5989.98,143, , 
 , , , 2.5, 8.75
600724,6007.24,106, , 
602849,6028.49,97, , 
605849,6058.49,119, , 
606576,6065.76,88, , 
 , , , 2.5, 9.375
609924,6099.24,104, , 
610143,6101.43,91, , 
610363,6103.63,113, , 
610582,6105.82,101, , 
614627,6146.27,130, , 
615054,6150.54,105, , 
615724,6157.24,93, , 
616366,6163.66,95, , 
 , , , 5.0, 9.375
619731,6197.31,132, , 
619878,6198.78,102, , 
620894,6208.94,94, , 
624183,6241.83,100, , 
625348,6253.48,137, , 
625586,6255.86,133, , 
 , , , 3.75, 6.25
631321,6313.21,125, , 
632337,6323.37,96, , 
633670,6336.7,102, , 
635357,6353.57,106, , 
635757,6357.57,121, , 
635988,6359.88,142, , 
636417,6364.17,117, , 
636919,6369.19,108, , 
 , , , 5.0, 5.0
639013,6390.13,93, , 
640257,6402.57,94, , 
640846,6408.46,109, , 
641313,6413.13,110, , 
642429,6424.29,113, , 
642943,6429.43,119, , 
643572,6435.72,103, , 
643818,6438.18,103, , 
646074,6460.74,132, , 
646362,6463.62,113, , 
646867,6468.67,100, , 
647874,6478.74,106, , 
 , , , 7.5, 4.375
652102,6521.02,110, , 
652662,6526.62,141, , 
653084,6530.84,120, , 
653219,6532.19,128, , 
653798,6537.98,122, , 
656182,6561.82,106, , 
656490,6564.9,96, , 
 , , , 4.375, 5.0
657014,6570.14,130, , 
657908,6579.08,116, , 
660555,6605.55,98, , 
660858,6608.58,108, , 
664890,6648.9,113, , 
665609,6656.09,117, , 
 , , , 3.75, 6.25
667415,6674.15,115, , 
668342,6683.42,138, , 
669436,6694.36,116, , 
670328,6703.28,102, , 
671518,6715.18,112, , 
673493,6734.93,103, , 
674283,6742.83,94, , 
674580,6745.8,128, , 
674934,6749.34,109, , 
675811,6758.11,103, , 
 , , , 6.25, 6.25
677324,6773.24,89, , 
677639,6776.39,106, , 
679284,6792.84,131, , 
679845,6798.45,105, , 
680343,6803.43,98, , 
680880,6808.8,104, , 
683744,6837.44,114, , 
683957,6839.57,111, , 
 , , , 5.0, 4.375
688257,6882.57,107, , 
689128,6891.28,142, , 
689623,6896.23,118, , 
690553,6905.53,98, , 
692083,6920.83,100, , 
692571,6925.71,107, , 
693470,6934.7,153, , 
694757,6947.57,110, , 
 , , , 5.0, 5.0
696605,6966.05,98, , 
697330,6973.3,107, , 
698458,6984.58,121, , 
699201,6992.01,112, , 
700756,7007.56,95, , 
702574,7025.74,106, , 
703579,7035.79,115, , 
704058,7040.58,96, , 
704557,7045.57,97, , 
 , , , 5.625, 5.625
705981,7059.81,138, , 
707860,7078.6,97, , 
710638,7106.38,100, , 
711200,7112.0,101, , 
711745,7117.45,96, , 
712118,7121.18,127, , 
 , , , 3.75, 5.625
714920,7149.2,91, , 
715888,7158.88,96, , 
717712,7177.12,105, , 
718919,7189.19,99, , 
719387,7193.87,114, , 
720581,7205.81,105, , 
722884,7228.84,103, , 
723578,7235.78,95, , 
 , , , 5.0, 5.625
724683,7246.83,102, , 
726142,7261.42,123, , 
727337,7273.37,102, , 
729340,7293.4,120, , 
729770,7297.7,99, , 
730038,7300.38,97, , 
731289,7312.89,87, , 
732769,7327.69,102, , 
 , , , 5.0, 6.875
734230,7342.3,128, , 
738456,7384.56,133, , 
739918,7399.18,98, , 
741817,7418.17,91, , 
742750,7427.5,144, , 
 , , , 3.125, 9.375
744278,7442.78,102, , 
747026,7470.26,92, , 
747561,7475.61,138, , 
747778,7477.78,100, , 
748126,7481.26,94, , 
751220,7512.2,88, , 
752252,7522.52,123, , 
 , , , 4.375, 9.375
754153,7541.53,88, , 
755296,7552.96,91, , 
755923,7559.23,106, , 
756386,7563.86,121, , 
756874,7568.74,101, , 
757876,7578.76,99, , 
759709,7597.09,92, , 
760289,7602.89,86, , 
760658,7606.58,97, , 
762078,7620.78,87, , 
 , , , 6.25, 10.0
764424,7644.24,94, , 
765323,7653.23,108, , 
765670,7656.7,94, , 
766485,7664.85,91, , 
766739,7667.39,98, , 
769229,7692.29,89, , 
769689,7696.89,137, , 
770520,7705.2,106, , 
773800,7738.0,99, , 
774036,7740.36,109, , 
774188,7741.88,91, , 
 , , , 6.875, 7.5
775100,7751.0,136, , 
775453,7754.53,147, , 
776439,7764.39,146, , 
777314,7773.14,162, , 
777863,7778.63,144, , 
781642,7816.42,144, , 
 , , , 3.75, 6.875
782111,7821.11,142, , 
782659,7826.59,123, , 
783338,7833.38,149, , 
784683,7846.83,148, , 
