R-PEAK AMPLITUDE PEAK INDEX, TIME, AMPLITUDE, COMPUTED RESPIRATORY RATE (BREATHS PER MINUTE), BENCHMARK RESPIRATORY RATE (BREATHS PER MINUTE)
785865,7858.65,127, , 
787366,7873.66,139, , 
787737,7877.37,156, , 
788086,7880.86,144, , 
788716,7887.16,145, , 
789312,7893.12,142, , 
789559,7895.59,133, , 
790431,7904.31,147, , 
790912,7909.12,132, , 
 , , , 8.125, 10.0
791765,7917.65,136, , 
792082,7920.82,136, , 
792467,7924.67,132, , 
793510,7935.1,125, , 
794132,7941.32,127, , 
794652,7946.52,134, , 
795621,7956.21,135, , 
797990,7979.9,132, , 
798512,7985.12,123, , 
799031,7990.31,122, , 
799698,7996.98,140, , 
800151,8001.51,139, , 
800659,8006.59,127, , 
 , , , 8.125, 16.875
801455,8014.55,135, , 
802035,8020.35,125, , 
802693,8026.93,130, , 
802989,8029.89,127, , 
803648,8036.48,130, , 
804019,8040.19,130, , 
805509,8055.09,121, , 
806182,8061.82,132, , 
807129,8071.29,134, , 
807853,8078.53,123, , 
808725,8087.25,121, , 
809018,8090.18,130, , 
810538,8105.38,131, , 
 , , , 8.125, 20.625
810907,8109.07,123, , 
812235,8122.35,128, , 
812757,8127.57,130, , 
813483,8134.83,131, , 
814282,8142.82,131, , 
814644,8146.44,130, , 
815521,8155.21,134, , 
815963,8159.63,128, , 
816326,8163.26,126, , 
817422,8174.22,130, , 
817862,8178.62,130, , 
818588,8185.88,121, , 
819029,8190.29,131, , 
 , , , 8.125, 22.5
820262,8202.62,125, , 
821879,8218.79,129, , 
822250,8222.5,134, , 
822469,8224.69,119, , 
823116,8231.16,128, , 
823903,8239.03,137, , 
824473,8244.73,133, , 
826175,8261.75,126, , 
826458,8264.58,124, , 
828114,8281.14,130, , 
828694,8286.94,132, , 
828981,8289.81,130, , 
829266,8292.66,133, , 
 , , , 8.125, 20.0
829842,8298.42,141, , 
830204,8302.04,127, , 
830706,8307.06,138, , 
832225,8322.25,132, , 
832585,8325.85,140, , 
834037,8340.37,132, , 
834543,8345.43,126, , 
835272,8352.72,115, , 
836629,8366.29,128, , 
837366,8373.66,129, , 
838318,8383.18,133, , 
838603,8386.03,121, , 
839030,8390.3,131, , 
 , , , 8.125, 20.0
839957,8399.57,129, , 
840177,8401.77,118, , 
841065,8410.65,125, , 
841720,8417.2,132, , 
842306,8423.06,124, , 
843036,8430.36,131, , 
843610,8436.1,131, , 
844250,8442.5,129, , 
845469,8454.69,134, , 
845903,8459.03,135, , 
846122,8461.22,126, , 
847830,8478.3,129, , 
848479,8484.79,129, , 
 , , , 8.125, 22.5
849560,8495.6,118, , 
850062,8500.62,137, , 
850349,8503.49,130, , 
851277,8512.77,133, , 
851852,8518.52,129, , 
852351,8523.51,123, , 
852929,8529.29,128, , 
853365,8533.65,113, , 
854161,8541.61,142, , 
854885,8548.85,108, , 
855459,8554.59,129, , 
856321,8563.21,132, , 
857341,8573.41,131, , 
857908,8579.08,128, , 
 , , , 8.75, 21.875
858991,8589.91,132, , 
859780,8597.8,125, , 
860564,8605.64,137, , 
860988,8609.88,122, , 
862545,8625.45,124, , 
862898,8628.98,131, , 
863556,8635.56,132, , 
865367,8653.67,132, , 
866015,8660.15,129, , 
866573,8665.73,127, , 
867857,8678.57,130, , 
 , , , 6.875, 23.125
868288,8682.88,113, , 
868646,8686.46,126, , 
868929,8689.29,127, , 
870633,8706.33,131, , 
871195,8711.95,139, , 
871551,8715.51,130, , 
872337,8723.37,120, , 
872627,8726.27,130, , 
873269,8732.69,129, , 
873479,8734.79,115, , 
874259,8742.59,131, , 
875477,8754.77,126, , 
876063,8760.63,135, , 
876555,8765.55,129, , 
876767,8767.67,120, , 
877055,8770.55,130, , 
877568,8775.68,132, , 
 , , , 10.625, 21.875
878070,8780.7,131, , 
878703,8787.03,137, , 
879423,8794.23,136, , 
879787,8797.87,127, , 
880003,8800.03,134, , 
881009,8810.09,134, , 
881939,8819.39,129, , 
882292,8822.92,134, , 
883369,8833.69,131, , 
883861,8838.61,134, , 
885209,8852.09,130, , 
885484,8854.84,135, , 
885912,8859.12,125, , 
886691,8866.91,116, , 
 , , , 8.75, 20.625
887389,8873.89,137, , 
887885,8878.85,128, , 
888384,8883.84,134, , 
889101,8891.01,139, , 
889521,8895.21,124, , 
889810,8898.1,118, , 
891384,8913.84,132, , 
892391,8923.91,132, , 
892953,8929.53,141, , 
893945,8939.45,130, , 
894298,8942.98,125, , 
894722,8947.22,133, , 
895924,8959.24,123, , 
896216,8962.16,132, , 
 , , , 8.75, 17.5
897851,8978.51,133, , 
898137,8981.37,126, , 
898701,8987.01,126, , 
898911,8989.11,128, , 
899331,8993.31,126, , 
900454,9004.54,118, , 
900945,9009.45,134, , 
901369,9013.69,136, , 
901722,9017.22,132, , 
902275,9022.75,131, , 
903336,9033.36,130, , 
905700,9057.0,135, , 
 , , , 7.5, 20.0
907151,9071.51,119, , 
907427,9074.27,131, , 
908673,9086.73,135, , 
909086,9090.86,131, , 
909516,9095.16,135, , 
910421,9104.21,137, , 
910626,9106.26,118, , 
910902,9109.02,118, , 
912082,9120.82,121, , 
912987,9129.87,141, , 
914526,9145.26,133, , 
914807,9148.07,138, , 
915229,9152.29,127, , 
915781,9157.81,130, , 
 , , , 8.75, 19.375
916413,9164.13,122, , 
917396,9173.96,139, , 
917822,9178.22,127, , 
919289,9192.89,123, , 
920397,9203.97,136, , 
920677,9206.77,131, , 
921302,9213.02,136, , 
921579,9215.79,144, , 
922071,9220.71,121, , 
922423,9224.23,132, , 
925065,9250.65,129, , 
 , , , 6.875, 20.0
926176,9261.76,141, , 
926449,9264.49,136, , 
926791,9267.91,136, , 
927132,9271.32,133, , 
928363,9283.63,127, , 
928638,9286.38,138, , 
928984,9289.84,134, , 
929192,9291.92,125, , 
929609,9296.09,125, , 
930095,9300.95,131, , 
930438,9304.38,135, , 
931128,9311.28,122, , 
931335,9313.35,133, , 
932159,9321.59,139, , 
932781,9327.81,139, , 
933458,9334.58,133, , 
934000,9340.0,127, , 
 , , , 10.625, 15.625
935790,9357.9,127, , 
936480,9364.8,125, , 
937453,9374.53,122, , 
938037,9380.37,127, , 
938743,9387.43,134, , 
939551,9395.51,132, , 
940316,9403.16,142, , 
940666,9406.66,135, , 
942562,9425.62,138, , 
943537,9435.37,130, , 
944448,9444.48,132, , 
 , , , 6.875, 13.125
945478,9454.78,133, , 
946031,9460.31,127, , 
946304,9463.04,113, , 
946574,9465.74,130, , 
947133,9471.33,137, , 
949132,9491.32,111, , 
949549,9495.49,121, , 
950380,9503.8,127, , 
951004,9510.04,115, , 
952334,9523.34,132, , 
953226,9532.26,126, , 
 , , , 6.875, 19.375
954827,9548.27,129, , 
955856,9558.56,131, , 
956485,9564.85,132, , 
957040,9570.4,125, , 
957387,9573.87,132, , 
958505,9585.05,139, , 
959185,9591.85,123, , 
959742,9597.42,134, , 
960640,9606.4,134, , 
963111,9631.11,126, , 
963464,9634.64,137, , 
963811,9638.11,132, , 
 , , , 7.5, 21.875
964285,9642.85,131, , 
965325,9653.25,135, , 
965733,9657.33,134, , 
966146,9661.46,130, , 
966900,9669.0,119, , 
967172,9671.72,133, , 
971309,9713.09,127, , 
971787,9717.87,121, , 
972953,9729.53,130, , 
973225,9732.25,127, , 
973498,9734.98,120, , 
 , , , 6.875, 18.125
974054,9740.54,131, , 
974999,9749.99,120, , 
975346,9753.46,132, , 
975835,9758.35,131, , 
977323,9773.23,135, , 
977868,9778.68,127, , 
978883,9788.83,133, , 
979224,9792.24,131, , 
980028,9800.28,142, , 
980787,9807.87,131, , 
981124,9811.24,120, , 
981324,9813.24,142, , 
981662,9816.62,128, , 
981938,9819.38,126, , 
982209,9822.09,135, , 
982809,9828.09,128, , 
983077,9830.77,129, , 
